Date,Time,Date_Time,pp_CO2
4/1/2018,0:05:00,4/1/2018 0:05,1076.065117
4/1/2018,1:05:00,4/1/2018 1:05,1080.951046
4/1/2018,2:05:00,4/1/2018 2:05,1084.513394
4/1/2018,3:05:00,4/1/2018 3:05,1080.797534
4/1/2018,4:05:00,4/1/2018 4:05,1080.109107
4/1/2018,5:05:00,4/1/2018 5:05,1092.325788
4/1/2018,6:05:00,4/1/2018 6:05,1092.295733
4/1/2018,7:05:00,4/1/2018 7:05,1089.739997
4/1/2018,8:05:00,4/1/2018 8:05,1086.352201
4/1/2018,9:05:00,4/1/2018 9:05,1082.130567
4/1/2018,10:05:00,4/1/2018 10:05,1080.291233
4/1/2018,11:05:00,4/1/2018 11:05,1081.008637
4/1/2018,12:05:00,4/1/2018 12:05,1079.660693
4/1/2018,13:05:00,4/1/2018 13:05,1080.531135
4/1/2018,14:05:00,4/1/2018 14:05,1080.204098
4/1/2018,15:05:00,4/1/2018 15:05,1080.250426
4/1/2018,16:05:00,4/1/2018 16:05,1077.554567
4/1/2018,17:05:00,4/1/2018 17:05,1165.459531
4/1/2018,18:05:00,4/1/2018 18:05,1183.921072
4/1/2018,19:05:00,4/1/2018 19:05,1177.131795
4/1/2018,20:05:00,4/1/2018 20:05,1168.393109
4/1/2018,21:05:00,4/1/2018 21:05,1165.607724
4/1/2018,22:05:00,4/1/2018 22:05,1161.181116
4/1/2018,23:05:00,4/1/2018 23:05,1159.182953
4/2/2018,0:05:00,4/2/2018 0:05,1158.084872
4/2/2018,1:05:00,4/2/2018 1:05,1157.356308
4/2/2018,2:05:00,4/2/2018 2:05,1157.009764
4/2/2018,4:05:00,4/2/2018 4:05,1269.035422
4/2/2018,5:05:00,4/2/2018 5:05,1279.827099
4/2/2018,6:05:00,4/2/2018 6:05,1272.291257
4/2/2018,7:05:00,4/2/2018 7:05,1253.193527
4/2/2018,8:05:00,4/2/2018 8:05,1241.861822
4/2/2018,9:05:00,4/2/2018 9:05,1232.429861
4/2/2018,10:05:00,4/2/2018 10:05,1225.513947
